customer_id,gender,age,city,signup_date.1,order_id,order_date,restaurant_name,dish_name,category,quantity,price,payment_method,order_frequency,last_order_date.1,loyalty_points,churned,rating,rating_date.1,delivery_status,
C2747,Female,Adult,Lahore,30-08-2024,O6747,25-08-2023,Subway,Sandwich,Italian,2,802.12,Wallet,22,15-09-2024,32,Inactive,4,11-06-2025,Cancelled,
C3406,Female,Teenager,Lahore,25-02-2024,O7406,25-08-2023,Pizza Hut,Sandwich,Italian,1,1394.47,Cash,13,16-06-2025,273,Inactive,2,20-07-2025,Delayed,
C2975,Male,Teenager,Multan,28-09-2024,O6975,25-08-2023,Pizza Hut,Pizza,Italian,3,1287.69,Wallet,49,05-06-2025,35,Active,4,10-11-2024,Delivered,
C5497,Other,Adult,Lahore,26-01-2025,O9497,25-08-2023,Burger King,Pasta,Continental,5,785.37,Card,49,21-10-2024,463,Active,2,19-05-2025,Delivered,
C2748,Other,Teenager,Karachi,07-07-2024,O6748,25-08-2023,Pizza Hut,Fries,Dessert,2,1304.8,Cash,2,01-12-2024,435,Inactive,1,29-11-2024,Cancelled,
C1929,Female,Teenager,Peshawar,27-11-2023,O5929,26-08-2023,KFC,Fries,Continental,1,599.7,Wallet,35,26-06-2025,172,Active,4,10-11-2024,Delayed,
C5124,Male,Adult,Lahore,25-05-2025,O9124,26-08-2023,McDonald's,Burger,Continental,3,1065.15,Cash,38,13-12-2024,250,Inactive,2,18-04-2025,Cancelled,
C6250,Male,Teenager,Lahore,29-06-2024,O10250,26-08-2023,McDonald's,Pasta,Chinese,5,576.33,Card,7,03-05-2025,60,Active,3,03-06-2025,Cancelled,
C1351,Female,Adult,Karachi,16-06-2024,O5351,26-08-2023,KFC,Fries,Chinese,3,761.47,Card,3,08-01-2025,240,Inactive,2,29-11-2024,Delivered,
C5795,Female,Senior,Islamabad,07-11-2023,O9795,26-08-2023,KFC,Pizza,Italian,5,1267.2,Card,32,10-11-2024,72,Active,5,21-10-2024,Delayed,
C5513,Male,Teenager,Islamabad,20-07-2025,O9513,26-08-2023,KFC,Pizza,Continental,3,1044.89,Card,31,15-09-2024,496,Inactive,2,27-12-2024,Delayed,
C6362,Female,Senior,Islamabad,22-11-2023,O10362,26-08-2023,Burger King,Pizza,Chinese,4,343.52,Card,34,29-09-2024,164,Active,3,25-01-2025,Delivered,
C6340,Male,Senior,Multan,07-07-2025,O10340,26-08-2023,Burger King,Sandwich,Continental,2,209.77,Cash,16,20-11-2024,453,Active,3,04-09-2024,Cancelled,
C5444,Other,Teenager,Peshawar,02-07-2025,O9444,26-08-2023,Subway,Pasta,Chinese,3,1052.17,Cash,12,21-04-2025,14,Inactive,3,08-02-2025,Delayed,
C1454,Female,Adult,Islamabad,01-07-2025,O5454,26-08-2023,McDonald's,Pizza,Italian,2,1030.25,Wallet,5,26-06-2025,273,Active,1,05-02-2025,Cancelled,
C4748,Other,Adult,Peshawar,10-03-2024,O8748,26-08-2023,Subway,Sandwich,Italian,5,909.48,Wallet,3,28-07-2025,224,Inactive,3,25-05-2025,Cancelled,
C2827,Male,Teenager,Multan,05-03-2025,O6827,26-08-2023,Pizza Hut,Sandwich,Italian,3,192.88,Wallet,26,03-06-2025,18,Active,3,13-01-2025,Cancelled,
C3338,Female,Senior,Lahore,04-12-2023,O7338,26-08-2023,McDonald's,Burger,Chinese,2,1471.81,Wallet,25,27-12-2024,444,Active,3,14-06-2025,Delivered,
C1614,Other,Adult,Lahore,31-12-2023,O5614,26-08-2023,Subway,Pizza,Italian,1,956.03,Card,39,19-04-2025,167,Inactive,5,04-01-2025,Delivered,
C4382,Male,Senior,Multan,20-01-2025,O8382,27-08-2023,Pizza Hut,Pizza,Dessert,3,222.14,Wallet,4,25-03-2025,148,Inactive,2,01-01-2025,Delayed,
C1827,Other,Adult,Lahore,24-05-2024,O5827,27-08-2023,Burger King,Pasta,Italian,2,522,Cash,12,30-03-2025,246,Inactive,3,20-09-2024,Delayed,
C5009,Male,Teenager,Islamabad,25-03-2024,O9009,27-08-2023,Pizza Hut,Pizza,Italian,3,795.3,Card,15,02-06-2025,179,Inactive,4,13-01-2025,Delayed,
C3152,Other,Teenager,Multan,26-02-2024,O7152,27-08-2023,Subway,Burger,Chinese,3,768.49,Wallet,40,23-12-2024,495,Inactive,5,06-01-2025,Delivered,
C4729,Female,Teenager,Multan,18-07-2025,O8729,27-08-2023,KFC,Fries,Chinese,2,198.12,Card,7,31-01-2025,13,Inactive,3,27-06-2025,Cancelled,
C5046,Other,Teenager,Islamabad,15-08-2024,O9046,27-08-2023,KFC,Fries,Chinese,1,196.28,Card,22,17-08-2025,378,Inactive,4,04-03-2025,Delivered,
C3588,Other,Teenager,Lahore,07-01-2024,O7588,27-08-2023,Subway,Burger,Continental,1,364.91,Card,1,06-05-2025,98,Active,5,18-08-2025,Delayed,
C3247,Female,Senior,Multan,27-11-2023,O7247,27-08-2023,McDonald's,Sandwich,Italian,5,275.53,Cash,7,06-12-2024,138,Active,2,22-06-2025,Delivered,
C2454,Other,Teenager,Karachi,04-12-2023,O6454,27-08-2023,KFC,Pizza,Italian,1,249.9,Cash,20,22-03-2025,70,Inactive,1,20-07-2025,Delayed,
C4046,Other,Adult,Karachi,10-11-2024,O8046,27-08-2023,Subway,Sandwich,Continental,4,1226.08,Cash,32,06-02-2025,372,Active,4,18-06-2025,Delivered,
C6194,Female,Adult,Lahore,09-10-2023,O10194,28-08-2023,Subway,Fries,Continental,3,1120.65,Card,46,02-12-2024,453,Active,4,19-08-2025,Cancelled,
C5845,Other,Senior,Multan,07-11-2024,O9845,28-08-2023,Subway,Sandwich,Fast Food,3,1056.2,Card,26,14-10-2024,116,Active,5,16-02-2025,Cancelled,
C6804,Female,Adult,Peshawar,16-01-2025,O10804,28-08-2023,Burger King,Burger,Continental,3,931.02,Wallet,30,10-07-2025,211,Inactive,3,18-03-2025,Delayed,
C1490,Other,Senior,Lahore,02-12-2024,O5490,28-08-2023,Pizza Hut,Pizza,Fast Food,2,1431.45,Wallet,15,04-05-2025,190,Inactive,4,08-10-2024,Cancelled,
C4203,Male,Adult,Multan,17-04-2024,O8203,28-08-2023,KFC,Pizza,Italian,5,167.62,Card,13,08-09-2024,388,Active,4,07-11-2024,Delivered,
C6818,Male,Adult,Islamabad,22-10-2024,O10818,28-08-2023,Subway,Pasta,Chinese,2,118.82,Card,12,10-05-2025,87,Active,1,14-09-2024,Cancelled,
C2583,Female,Adult,Karachi,10-08-2024,O6583,29-08-2023,Pizza Hut,Pasta,Fast Food,1,492.46,Cash,10,16-01-2025,383,Active,1,09-09-2024,Delivered,
C1891,Male,Teenager,Multan,28-11-2023,O5891,29-08-2023,Pizza Hut,Pasta,Chinese,5,1275.96,Card,28,09-11-2024,312,Inactive,2,29-12-2024,Delivered,
C1972,Male,Teenager,Multan,03-06-2024,O5972,29-08-2023,McDonald's,Sandwich,Chinese,1,1462.99,Wallet,36,26-03-2025,316,Inactive,4,30-11-2024,Cancelled,
C5895,Female,Adult,Karachi,19-02-2025,O9895,29-08-2023,McDonald's,Pasta,Chinese,2,1221.24,Cash,13,12-02-2025,286,Active,4,15-03-2025,Cancelled,
C5179,Male,Adult,Multan,03-09-2023,O9179,29-08-2023,McDonald's,Pasta,Fast Food,1,1033.71,Card,47,30-08-2024,4,Active,2,24-12-2024,Delivered,
C3147,Female,Adult,Islamabad,30-10-2024,O7147,30-08-2023,Burger King,Pizza,Continental,4,299.44,Cash,27,06-02-2025,480,Inactive,3,01-12-2024,Delivered,
C3256,Other,Senior,Islamabad,06-07-2024,O7256,30-08-2023,Pizza Hut,Pasta,Dessert,3,1310.72,Wallet,41,07-08-2025,47,Active,3,20-11-2024,Cancelled,
C3011,Male,Teenager,Islamabad,19-07-2025,O7011,30-08-2023,KFC,Pizza,Italian,4,343.94,Cash,20,27-01-2025,389,Active,3,20-11-2024,Cancelled,
C2727,Other,Senior,Karachi,27-11-2024,O6727,30-08-2023,Subway,Pizza,Continental,1,1416.38,Wallet,27,05-11-2024,25,Inactive,3,28-06-2025,Cancelled,
C5922,Other,Adult,Islamabad,03-08-2024,O9922,30-08-2023,Pizza Hut,Fries,Dessert,3,622.55,Cash,32,26-08-2024,92,Active,3,15-05-2025,Delayed,
C3797,Other,Teenager,Islamabad,08-05-2024,O7797,30-08-2023,Burger King,Burger,Chinese,3,266.63,Wallet,13,14-09-2024,429,Active,2,25-05-2025,Cancelled,
C5286,Other,Adult,Peshawar,09-03-2025,O9286,30-08-2023,KFC,Fries,Continental,4,1052.03,Cash,44,16-04-2025,107,Inactive,4,12-03-2025,Delivered,
C3379,Other,Adult,Peshawar,19-12-2023,O7379,30-08-2023,McDonald's,Burger,Italian,3,519.94,Card,30,08-10-2024,195,Active,1,08-02-2025,Delivered,
C4465,Female,Adult,Islamabad,22-01-2025,O8465,30-08-2023,Burger King,Pizza,Italian,2,1296.57,Card,16,13-12-2024,31,Inactive,3,13-03-2025,Cancelled,
C4554,Other,Teenager,Lahore,20-06-2024,O8554,31-08-2023,Subway,Sandwich,Continental,5,575.25,Card,8,15-04-2025,168,Active,1,06-05-2025,Cancelled,
C1842,Female,Teenager,Lahore,27-04-2025,O5842,31-08-2023,Pizza Hut,Pasta,Dessert,3,1487.08,Cash,2,17-09-2024,205,Active,5,13-09-2024,Delivered,
C1557,Female,Teenager,Peshawar,11-01-2024,O5557,31-08-2023,Burger King,Pizza,Chinese,1,1071.22,Cash,5,15-06-2025,56,Inactive,5,11-10-2024,Delivered,
C6668,Other,Senior,Lahore,14-10-2024,O10668,31-08-2023,Pizza Hut,Burger,Fast Food,2,181.27,Cash,12,28-08-2024,364,Inactive,5,20-11-2024,Cancelled,
C6686,Female,Senior,Peshawar,11-08-2024,O10686,31-08-2023,KFC,Burger,Fast Food,1,397.47,Wallet,5,12-04-2025,180,Active,1,10-06-2025,Cancelled,
C3239,Female,Senior,Lahore,13-09-2023,O7239,31-08-2023,Pizza Hut,Fries,Chinese,5,1475.86,Card,13,13-07-2025,59,Active,4,09-02-2025,Cancelled,
C1207,Other,Teenager,Peshawar,23-09-2023,O5207,31-08-2023,McDonald's,Pizza,Italian,4,1143.99,Wallet,26,26-09-2024,323,Inactive,4,24-03-2025,Delivered,
C6466,Other,Senior,Islamabad,14-02-2024,O10466,31-08-2023,KFC,Fries,Chinese,1,1492.84,Wallet,50,28-03-2025,423,Active,1,09-02-2025,Cancelled,
C6687,Other,Adult,Islamabad,10-06-2025,O10687,09-01-2023,KFC,Pasta,Italian,3,101.29,Wallet,28,17-01-2025,468,Inactive,3,07-02-2025,Delivered,
C3210,Other,Teenager,Karachi,05-06-2025,O7210,09-01-2023,Burger King,Pasta,Fast Food,2,528.24,Cash,24,08-02-2025,149,Inactive,4,24-08-2024,Delayed,
C2375,Female,Teenager,Peshawar,17-11-2023,O6375,09-01-2023,McDonald's,Burger,Continental,3,716.53,Card,3,20-02-2025,432,Inactive,1,17-09-2024,Cancelled,
C3484,Male,Senior,Peshawar,02-08-2025,O7484,09-01-2023,Subway,Pasta,Fast Food,3,1135.18,Cash,2,01-10-2024,113,Active,2,29-11-2024,Cancelled,
C3775,Other,Adult,Multan,29-12-2024,O7775,09-01-2023,Burger King,Fries,Chinese,2,388.86,Cash,31,01-09-2024,39,Inactive,3,05-10-2024,Cancelled,
C5566,Other,Teenager,Islamabad,25-03-2024,O9566,09-01-2023,Subway,Pasta,Dessert,5,362.35,Cash,23,28-02-2025,309,Active,5,03-01-2025,Delayed,
C3733,Male,Adult,Multan,18-12-2024,O7733,09-01-2023,Burger King,Sandwich,Continental,4,172.76,Wallet,23,18-05-2025,356,Inactive,5,25-01-2025,Delivered,
C5134,Male,Senior,Lahore,02-05-2025,O9134,09-02-2023,Burger King,Sandwich,Chinese,3,184.12,Card,41,23-02-2025,491,Inactive,4,02-02-2025,Cancelled,
C4670,Other,Adult,Peshawar,23-08-2024,O8670,09-02-2023,Pizza Hut,Fries,Italian,3,124.6,Card,26,06-05-2025,297,Inactive,2,28-11-2024,Cancelled,
C2760,Other,Teenager,Lahore,26-07-2025,O6760,09-02-2023,McDonald's,Pizza,Dessert,4,664.08,Cash,20,10-04-2025,354,Inactive,3,09-04-2025,Cancelled,
C6071,Female,Senior,Peshawar,23-01-2024,O10071,09-02-2023,Pizza Hut,Pizza,Continental,1,1465.02,Card,45,04-07-2025,420,Active,1,20-02-2025,Delivered,
C5186,Female,Adult,Peshawar,27-10-2023,O9186,09-02-2023,Subway,Pizza,Continental,2,158.21,Cash,8,27-12-2024,321,Active,3,12-02-2025,Delayed,
C3464,Other,Adult,Peshawar,11-06-2024,O7464,09-02-2023,Pizza Hut,Pizza,Continental,2,949.78,Card,46,14-04-2025,435,Active,1,14-08-2025,Cancelled,
C5340,Male,Teenager,Peshawar,09-05-2024,O9340,09-02-2023,McDonald's,Pasta,Continental,1,1047.07,Wallet,50,29-01-2025,328,Inactive,2,01-09-2024,Delayed,
C5353,Male,Adult,Islamabad,25-05-2025,O9353,09-02-2023,KFC,Pizza,Dessert,2,1491.88,Cash,44,12-03-2025,330,Active,5,07-09-2024,Delayed,
C6843,Other,Senior,Multan,10-04-2025,O10843,09-02-2023,KFC,Pizza,Italian,4,1014.28,Card,41,22-07-2025,0,Active,1,23-01-2025,Delivered,
C5132,Male,Teenager,Lahore,13-09-2024,O9132,09-02-2023,Subway,Burger,Fast Food,2,941.02,Wallet,5,18-07-2025,468,Active,1,27-02-2025,Delivered,
C2398,Other,Senior,Islamabad,29-12-2023,O6398,09-03-2023,Subway,Pasta,Chinese,1,1187.79,Cash,41,05-07-2025,22,Inactive,2,13-12-2024,Cancelled,
C5122,Other,Senior,Multan,30-03-2025,O9122,09-03-2023,McDonald's,Pizza,Chinese,3,1201.49,Cash,37,30-04-2025,293,Active,1,30-11-2024,Delayed,
C6532,Female,Senior,Islamabad,15-03-2024,O10532,09-03-2023,Pizza Hut,Pizza,Dessert,4,579.72,Wallet,40,14-07-2025,170,Inactive,3,06-02-2025,Delayed,
C1833,Other,Adult,Peshawar,06-06-2025,O5833,09-03-2023,KFC,Burger,Chinese,4,599.35,Cash,3,08-04-2025,322,Inactive,2,15-01-2025,Cancelled,
C2040,Male,Senior,Peshawar,07-02-2024,O6040,09-03-2023,Burger King,Pasta,Fast Food,4,1418.27,Wallet,14,18-05-2025,291,Inactive,3,10-02-2025,Cancelled,
C2631,Female,Adult,Lahore,08-11-2024,O6631,09-03-2023,Subway,Pasta,Continental,2,1174.62,Card,50,11-02-2025,64,Active,5,24-03-2025,Cancelled,
C3877,Other,Teenager,Islamabad,22-10-2024,O7877,09-03-2023,KFC,Fries,Continental,4,213.52,Cash,50,22-01-2025,24,Active,3,14-12-2024,Cancelled,
C4158,Male,Senior,Islamabad,27-04-2024,O8158,09-04-2023,KFC,Fries,Chinese,3,566.9,Wallet,22,27-03-2025,387,Active,3,22-02-2025,Cancelled,
C3705,Other,Teenager,Lahore,15-05-2024,O7705,09-04-2023,Burger King,Pasta,Italian,3,881.71,Wallet,16,25-06-2025,26,Active,2,20-11-2024,Cancelled,
C5223,Other,Adult,Multan,01-11-2023,O9223,09-04-2023,Subway,Fries,Chinese,3,1142.45,Wallet,9,08-09-2024,397,Inactive,1,20-03-2025,Delayed,
C4259,Male,Teenager,Islamabad,28-12-2024,O8259,09-04-2023,McDonald's,Fries,Continental,3,734.85,Card,48,21-09-2024,245,Active,4,17-10-2024,Delivered,
C4636,Female,Teenager,Lahore,27-01-2024,O8636,09-04-2023,Subway,Pasta,Fast Food,4,1303.08,Wallet,19,09-07-2025,62,Active,1,08-04-2025,Delayed,
C3087,Female,Adult,Peshawar,05-05-2025,O7087,09-04-2023,Subway,Pizza,Italian,2,526.39,Wallet,7,22-06-2025,83,Inactive,1,04-04-2025,Delayed,
C6268,Male,Teenager,Islamabad,11-02-2024,O10268,09-04-2023,Pizza Hut,Sandwich,Fast Food,3,897.81,Cash,15,14-08-2025,193,Active,5,19-06-2025,Cancelled,
C1434,Other,Senior,Multan,16-03-2024,O5434,09-05-2023,Subway,Burger,Chinese,4,949.24,Card,21,15-06-2025,264,Active,2,21-11-2024,Cancelled,
C3992,Male,Teenager,Lahore,21-07-2024,O7992,09-05-2023,Subway,Fries,Italian,5,904.16,Card,10,20-02-2025,118,Inactive,4,03-02-2025,Delayed,
C4725,Other,Senior,Islamabad,10-12-2023,O8725,09-05-2023,Subway,Pizza,Continental,4,321.23,Wallet,32,17-03-2025,145,Inactive,2,06-06-2025,Delivered,
C3703,Other,Teenager,Multan,30-10-2024,O7703,09-05-2023,McDonald's,Fries,Fast Food,4,1071.49,Card,39,04-06-2025,1,Active,2,15-02-2025,Delayed,
C1727,Male,Adult,Multan,26-08-2023,O5727,09-05-2023,Burger King,Fries,Dessert,3,465.28,Wallet,4,06-06-2025,71,Active,4,15-06-2025,Delivered,
C2154,Male,Teenager,Peshawar,13-11-2024,O6154,09-05-2023,Pizza Hut,Pizza,Continental,3,141.58,Wallet,30,05-09-2024,363,Active,2,27-04-2025,Delivered,
C6419,Female,Senior,Peshawar,12-04-2025,O10419,09-05-2023,Pizza Hut,Pizza,Continental,5,699.7,Cash,20,16-09-2024,183,Active,3,24-07-2025,Delivered,
C6318,Male,Teenager,Islamabad,17-01-2025,O10318,09-06-2023,McDonald's,Sandwich,Continental,3,1428.01,Cash,50,10-10-2024,185,Active,4,21-05-2025,Cancelled,
C5633,Other,Adult,Lahore,20-05-2025,O9633,09-06-2023,KFC,Fries,Italian,5,218.68,Wallet,26,07-12-2024,249,Active,4,10-03-2025,Delivered,
C5834,Other,Adult,Multan,06-10-2023,O9834,09-06-2023,Pizza Hut,Burger,Dessert,4,395.88,Card,37,11-11-2024,113,Inactive,3,16-04-2025,Delayed,
C1356,Female,Teenager,Islamabad,13-10-2024,O5356,09-06-2023,Burger King,Sandwich,Dessert,2,235.82,Wallet,28,16-08-2025,452,Inactive,1,25-08-2024,Delayed,
C6282,Female,Senior,Lahore,18-03-2024,O10282,09-06-2023,KFC,Sandwich,Italian,5,626.86,Card,47,28-03-2025,117,Inactive,4,21-03-2025,Delayed,
C3241,Other,Adult,Peshawar,10-08-2025,O7241,09-06-2023,McDonald's,Fries,Dessert,3,667.31,Cash,22,29-12-2024,375,Active,3,15-09-2024,Delivered,
C4303,Male,Adult,Multan,18-12-2024,O8303,09-06-2023,KFC,Sandwich,Dessert,2,893.55,Cash,17,21-10-2024,497,Inactive,3,20-11-2024,Delayed,
C6640,Female,Adult,Karachi,31-01-2025,O10640,09-06-2023,Subway,Pasta,Italian,1,368.03,Cash,25,19-12-2024,83,Inactive,4,21-12-2024,Delayed,
C1410,Male,Teenager,Karachi,06-04-2025,O5410,09-07-2023,KFC,Fries,Fast Food,1,708.22,Cash,39,19-01-2025,441,Active,5,12-09-2024,Delayed,
C2514,Male,Teenager,Multan,10-08-2024,O6514,09-07-2023,Burger King,Burger,Fast Food,3,892.81,Cash,25,02-07-2025,335,Inactive,4,20-02-2025,Cancelled,
C5399,Other,Teenager,Lahore,12-04-2024,O9399,09-07-2023,Burger King,Burger,Continental,4,1043.78,Card,6,15-04-2025,114,Active,2,05-06-2025,Delayed,
C5621,Other,Senior,Islamabad,28-05-2025,O9621,09-07-2023,Burger King,Fries,Italian,5,162.05,Wallet,27,24-01-2025,271,Inactive,2,09-06-2025,Cancelled,
C2832,Other,Teenager,Peshawar,03-07-2024,O6832,09-07-2023,McDonald's,Pasta,Italian,4,792.08,Card,19,21-09-2024,296,Inactive,4,13-09-2024,Delivered,
C6876,Female,Teenager,Islamabad,06-02-2025,O10876,09-07-2023,KFC,Pasta,Dessert,5,1356.66,Card,30,13-11-2024,470,Inactive,4,07-11-2024,Cancelled,
C1577,Male,Senior,Karachi,19-08-2024,O5577,09-07-2023,KFC,Pizza,Italian,1,820.53,Card,18,24-05-2025,402,Inactive,1,21-08-2025,Delivered,
C5668,Female,Adult,Multan,27-06-2025,O9668,09-07-2023,KFC,Burger,Fast Food,2,1115.36,Card,9,20-10-2024,294,Active,2,30-04-2025,Delayed,
C1370,Male,Senior,Lahore,27-04-2025,O5370,09-07-2023,KFC,Pasta,Chinese,3,1186.98,Card,11,12-04-2025,134,Inactive,2,08-07-2025,Cancelled,
C5722,Male,Teenager,Multan,26-06-2025,O9722,09-07-2023,Burger King,Fries,Continental,2,1215.67,Wallet,8,29-06-2025,186,Inactive,4,27-12-2024,Delivered,
C6273,Male,Teenager,Peshawar,17-05-2025,O10273,09-07-2023,Burger King,Pizza,Chinese,2,614,Card,21,05-03-2025,52,Active,3,05-11-2024,Cancelled,
C3949,Male,Adult,Peshawar,18-10-2024,O7949,09-08-2023,Burger King,Sandwich,Chinese,2,212.59,Cash,26,26-06-2025,302,Active,1,20-09-2024,Delivered,
C1847,Male,Senior,Lahore,01-03-2024,O5847,09-08-2023,Subway,Fries,Continental,3,1097.28,Card,20,22-09-2024,22,Active,5,30-11-2024,Delayed,
C6999,Female,Adult,Multan,16-05-2024,O10999,09-08-2023,Subway,Sandwich,Continental,2,1033.59,Card,1,16-01-2025,255,Active,1,06-10-2024,Delayed,
C3717,Female,Senior,Islamabad,01-07-2024,O7717,09-09-2023,Burger King,Burger,Fast Food,4,466.04,Cash,27,25-09-2024,169,Inactive,1,10-04-2025,Cancelled,
C6796,Other,Teenager,Lahore,27-02-2024,O10796,09-09-2023,KFC,Burger,Chinese,2,724.91,Cash,18,04-12-2024,438,Inactive,4,23-03-2025,Cancelled,
C1799,Male,Adult,Multan,22-02-2025,O5799,09-09-2023,Burger King,Burger,Fast Food,3,1128.96,Card,12,17-08-2025,487,Active,3,13-05-2025,Cancelled,
C3815,Male,Teenager,Karachi,07-04-2025,O7815,09-09-2023,Pizza Hut,Fries,Italian,5,122.84,Cash,43,24-05-2025,104,Active,5,29-03-2025,Delivered,
C5637,Male,Senior,Lahore,29-11-2023,O9637,09-09-2023,Subway,Fries,Continental,3,440,Wallet,11,23-12-2024,497,Active,3,13-01-2025,Delivered,
C2045,Male,Adult,Karachi,22-06-2024,O6045,09-09-2023,Burger King,Sandwich,Chinese,2,1207.62,Wallet,46,22-02-2025,91,Active,2,13-03-2025,Delivered,
C4628,Female,Adult,Peshawar,20-03-2025,O8628,09-09-2023,McDonald's,Pizza,Continental,3,1147.65,Wallet,45,15-04-2025,353,Active,4,12-12-2024,Delivered,
C4407,Other,Adult,Peshawar,31-08-2023,O8407,09-09-2023,Pizza Hut,Sandwich,Continental,5,1203.99,Wallet,1,17-04-2025,106,Inactive,4,02-07-2025,Delayed,
C5061,Female,Teenager,Karachi,30-06-2024,O9061,09-09-2023,McDonald's,Burger,Chinese,2,1417.09,Card,46,01-01-2025,355,Active,3,05-03-2025,Cancelled,
C4423,Male,Teenager,Karachi,21-06-2024,O8423,09-09-2023,Pizza Hut,Fries,Italian,5,1010.15,Cash,25,08-03-2025,461,Active,3,16-07-2025,Cancelled,
C2522,Other,Teenager,Peshawar,25-03-2025,O6522,09-10-2023,KFC,Sandwich,Italian,4,589.82,Cash,28,11-12-2024,162,Inactive,2,07-08-2025,Delivered,
C2161,Female,Senior,Karachi,20-01-2025,O6161,09-10-2023,KFC,Pizza,Fast Food,1,394.08,Card,1,06-02-2025,169,Inactive,4,14-12-2024,Delayed,
C2167,Male,Senior,Multan,30-01-2025,O6167,09-10-2023,McDonald's,Sandwich,Italian,4,1460.35,Card,9,19-04-2025,315,Active,5,25-01-2025,Cancelled,
C5088,Other,Senior,Lahore,25-09-2023,O9088,09-10-2023,Subway,Pasta,Fast Food,5,1397.42,Card,18,27-08-2024,36,Active,2,11-03-2025,Cancelled,
C3941,Other,Adult,Lahore,03-10-2023,O7941,09-10-2023,Burger King,Sandwich,Italian,3,257.86,Wallet,47,25-01-2025,327,Inactive,5,27-07-2025,Cancelled,
C2536,Female,Adult,Karachi,26-12-2023,O6536,09-10-2023,McDonald's,Burger,Fast Food,3,882.75,Wallet,16,28-01-2025,13,Active,4,08-10-2024,Delayed,
